time_seconds,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z
3.0521,4.53,-0.17,-1.78,0.79,0.6,-0.04,-0.07
3.0722,4.5,-2.15,-3.02,0.79,0.61,-0.04,-0.07
3.1009,5.08,-2.69,-4.35,0.79,0.61,-0.04,-0.07
3.1138,2.26,-0.73,-5.1,0.79,0.61,-0.04,-0.07
3.1318,1.68,-0.09,-5.1,0.79,0.61,-0.04,-0.07
3.1518,0.51,0.19,-5.42,0.78,0.62,-0.04,-0.07
3.1718,1.59,-0.59,-5.79,0.78,0.62,-0.04,-0.07
3.2031,2.98,-0.46,-4.96,0.77,0.63,-0.05,-0.07
3.2221,1.26,-1.06,-3.02,0.77,0.63,-0.06,-0.07
3.2418,1.33,-0.16,-2.67,0.77,0.63,-0.06,-0.08
3.2878,1.57,1.11,-2.3,0.77,0.63,-0.07,-0.08
3.3018,0.94,-0.5,-0.01,0.76,0.63,-0.1,-0.08
3.3218,1.0,-1.13,0.27,0.76,0.63,-0.11,-0.09
3.3547,0.99,1.11,1.51,0.76,0.64,-0.11,-0.09
3.3739,0.58,0.47,1.99,0.75,0.64,-0.14,-0.1
3.3918,1.45,-1.98,2.04,0.75,0.64,-0.15,-0.11
3.4287,1.59,-1.15,2.56,0.74,0.64,-0.16,-0.12
3.4408,1.48,0.32,3.13,0.73,0.65,-0.17,-0.13
3.4618,1.54,-0.74,3.37,0.72,0.65,-0.18,-0.14
3.4967,1.44,-1.82,2.77,0.71,0.66,-0.19,-0.15
3.5126,1.81,-1.67,2.56,0.7,0.66,-0.21,-0.17
3.5324,2.21,-2.57,2.73,0.69,0.66,-0.22,-0.19
3.5838,1.39,-1.52,2.91,0.69,0.66,-0.22,-0.2
3.6075,-1.27,-3.91,3.85,0.67,0.65,-0.26,-0.25
3.6868,-0.62,-2.12,3.5,0.66,0.65,-0.27,-0.26
3.7021,-2.01,0.63,2.99,0.65,0.64,-0.29,-0.3
3.7221,-2.01,-0.05,2.31,0.64,0.64,-0.3,-0.3
3.7919,-1.32,-1.48,2.72,0.64,0.64,-0.3,-0.3
3.8118,0.63,-1.43,2.92,0.64,0.63,-0.31,-0.31
3.8319,2.29,-0.92,2.2,0.64,0.63,-0.31,-0.3
3.8651,2.31,-0.92,2.77,0.64,0.63,-0.31,-0.3
3.8817,3.12,-1.47,4.67,0.65,0.63,-0.3,-0.3
3.902,3.84,-0.72,4.88,0.65,0.63,-0.29,-0.3
3.9221,5.76,-1.56,4.52,0.66,0.63,-0.28,-0.3
3.9419,6.37,-1.68,4.51,0.67,0.63,-0.26,-0.29
3.9621,5.42,-1.33,4.77,0.68,0.62,-0.24,-0.29
3.9898,3.14,-1.1,4.27,0.7,0.62,-0.23,-0.28
4.0126,1.69,-0.8,3.4,0.72,0.6,-0.2,-0.28
4.0881,1.2,-2.48,3.55,0.74,0.58,-0.19,-0.27
4.1136,-2.48,0.22,-0.03,0.81,0.52,-0.1,-0.25
4.1941,-2.31,-1.2,0.43,0.83,0.5,-0.09,-0.24
4.2121,-4.75,1.16,-0.55,0.88,0.44,-0.02,-0.2
4.233,-4.79,-1.65,-0.95,0.88,0.43,-0.02,-0.18
